AnonID	Query	QueryTime	ItemRank	ClickURL
479	the internet encyclopedia of philosophy	2006-04-24 15:39:36	1	http://www.iep.utm.edu
479	citation mine	2006-04-24 20:40:06		
479	citation machine	2006-04-24 20:40:22	2	http://citationmachine.net
479	citation machine	2006-04-24 20:40:22	3	http://www.landmark-project.com
479	citation machine	2006-04-24 20:40:22	1	http://citationmachine.net
479	6 6 06	2006-04-28 22:19:18		
479	the signs are all around you	2006-04-28 22:19:48		
479	the signs are all around you 6 6 06	2006-04-28 22:22:11	1	http://vnboards.ign.com
479	comcast sports net chicago	2006-04-28 23:31:52	1	http://chicago.comcastsportsnet.com
479	xm radio	2006-05-02 00:26:12	1	http://www.xmradio.com
479	cranial nerves	2006-05-05 01:37:39	5	http://staff.washington.edu
479	cranial nerves	2006-05-05 01:37:39	7	http://www.meddean.luc.edu
479	cranial nerves	2006-05-05 01:37:39	3	http://www.gwc.maricopa.edu
479	eye muscles	2006-05-05 01:41:22	4	http://www.patient.co.uk
479	eye muscles	2006-05-05 01:41:22	2	http://cim.ucdavis.edu
479	underworld evolution	2006-05-05 09:49:06	2	http://www.sonypictures.com
479	underworld evolution	2006-05-05 09:49:06	3	http://www.imdb.com
479	mvp baseball 2007	2006-05-08 20:02:48		
